id,category,subcategory,description
TE-01,Perform reconnaissance and gather information,Perform perimeter network reconnaissance/scanning,Adversary uses commercial or free software to scan organizational perimeters to obtain a better understanding of the information technology infrastructure and improve the ability to launch successful attacks
TE-02,Perform reconnaissance and gather information,Perform network sniffing of exposed networks,Adversary with access to exposed wired or wireless data channels used to transmit information uses network sniffing to identify components resources and protections
TE-03,Perform reconnaissance and gather information,Gather information using open source discovery,Adversary mines publically accessible information to gather information about organizational information systems business processes users or personnel or external relationships
TE-04,Perform reconnaissance and gather information,Perform reconnaissance and surveillance of targeted organizations,Adversary uses various means over time to examine and assess organizations and ascertain points of vulnerability
TE-05,Perform reconnaissance and gather information,Perform malware-directed internal reconnaissance,Adversary uses malware installed inside the organizational perimeter to identify targets of opportunity
TE-06,Craft or create attack tools,Craft phishing attacks,Adversary counterfeits communications from a legitimate/trustworthy source to acquire sensitive information such as usernames passwords or SSNs
TE-07,Craft or create attack tools,Craft spear phishing attacks,Adversary employs phishing attacks targeted at high value targets
TE-08,Craft or create attack tools,Craft attacks specifically based on deployed IT environment,Adversary develops attacks that take advantage of adversary knowledge of the organizational information technology environment
TE-09,Craft or create attack tools,Create counterfeit/spoof website,Adversary creates duplicates of legitimate websites when users visit a counterfeit site the site can gather information or download malware
TE-10,Craft or create attack tools,Craft counterfeit certificates,Adversary counterfeits or compromises a certificate authority so that malware or connections will appear legitimate
TE-11,Craft or create attack tools,Create false front organizations to inject malicious components,Adversary creates false front organizations with the appearance of legitimate suppliers that inject corrupted/malicious information system components into the organizational supply chain
TE-12,Deliver/insert/install malicious capabilities,Deliver known malware to internal systems,Adversary uses common delivery mechanisms to install/insert known malware into organizational information systems
TE-13,Deliver/insert/install malicious capabilities,Deliver modified malware to internal systems,Adversary uses sophisticated delivery mechanisms to deliver malware and possibly modifications of known malware to gain access to internal organizational information systems
TE-14,Deliver/insert/install malicious capabilities,Deliver targeted malware for control and exfiltration,Adversary installs malware specifically designed to take control of internal organizational information systems identify sensitive information exfiltrate the information and conceal these actions
TE-15,Deliver/insert/install malicious capabilities,Deliver malware by providing removable media,Adversary places removable media containing malware in locations where employees are likely to find and use it on organizational information systems
TE-16,Deliver/insert/install malicious capabilities,Insert untargeted malware into downloadable software,Adversary corrupts or inserts malware into common freeware shareware or commercial information technology products
TE-17,Deliver/insert/install malicious capabilities,Insert targeted malware into organizational systems,Adversary inserts malware into organizational information systems and components specifically targeted to the hardware software and firmware used by organizations
TE-18,Deliver/insert/install malicious capabilities,Insert specialized malware based on system configurations,Adversary inserts specialized non-detectable malware into organizational information systems based on system configurations specifically targeting critical information system components
TE-19,Deliver/insert/install malicious capabilities,Insert counterfeit or tampered hardware into supply chain,Adversary intercepts hardware from legitimate suppliers and modifies the hardware or replaces it with faulty or otherwise modified hardware
TE-20,Deliver/insert/install malicious capabilities,Insert tampered critical components into systems,Adversary replaces through supply chain subverted insider or combination thereof critical information system components with modified or corrupted components
TE-21,Deliver/insert/install malicious capabilities,Install general-purpose sniffers on systems or networks,Adversary installs sniffing software onto internal organizational information systems or networks
TE-22,Deliver/insert/install malicious capabilities,Install persistent and targeted sniffers,Adversary places within internal organizational information systems or networks software designed to collect network traffic over a continuous period of time
TE-23,Deliver/insert/install malicious capabilities,Insert malicious scanning devices inside facilities,Adversary uses delivery services to deliver to organizational mailrooms a device that can scan wireless communications and wirelessly transmit information back to adversary
TE-24,Deliver/insert/install malicious capabilities,Insert subverted individuals into organizations,Adversary places individuals within organizations who are willing and able to carry out actions to cause harm to organizational missions/business functions
TE-25,Deliver/insert/install malicious capabilities,Insert subverted individuals into privileged positions,Adversary places individuals in privileged positions within organizations who are willing and able to carry out actions to cause harm to organizational missions/business functions
TE-26,Exploit and compromise,Exploit physical access to gain access to facilities,Adversary follows authorized individuals into secure/controlled locations with the goal of gaining access to facilities circumventing physical security checks
TE-27,Exploit and compromise,Exploit poorly configured or unauthorized systems exposed to Internet,Adversary gains access through the Internet to information systems that are not authorized for Internet connectivity or that do not meet organizational configuration requirements
TE-28,Exploit and compromise,Exploit split tunneling,Adversary takes advantage of external organizational or personal information systems that are simultaneously connected securely to organizational information systems and to nonsecure remote connections
TE-29,Exploit and compromise,Exploit multi-tenancy in cloud environment,Adversary with processes running in an organizationally-used cloud environment takes advantage of multi-tenancy to observe behavior acquire information or interfere with organizational processes
TE-30,Exploit and compromise,Exploit known vulnerabilities in mobile systems,Adversary takes advantage of fact that transportable information systems are outside physical and logical protection and compromises the systems based on known vulnerabilities
TE-31,Exploit and compromise,Exploit recently discovered vulnerabilities,Adversary exploits recently discovered vulnerabilities in organizational information systems in an attempt to compromise the systems before mitigation measures are available or in place
TE-32,Exploit and compromise,Exploit vulnerabilities on internal systems,Adversary searches for known vulnerabilities in organizational internal information systems and exploits those vulnerabilities
TE-33,Exploit and compromise,Exploit vulnerabilities using zero-day attacks,Adversary employs attacks that exploit as yet unpublicized vulnerabilities based on adversary insight into the information systems and applications used by organizations
TE-34,Exploit and compromise,Exploit vulnerabilities timed with organizational operations tempo,Adversary launches attacks on organizations in a time and manner consistent with organizational needs to conduct mission/business operations
TE-35,Exploit and compromise,Exploit insecure or incomplete data deletion in multi-tenant environment,Adversary obtains unauthorized information due to insecure or incomplete data deletion in a multi-tenant environment
TE-36,Exploit and compromise,Violate isolation in multi-tenant environment,Adversary circumvents or defeats isolation mechanisms in a multi-tenant environment to observe corrupt or deny service to hosted services and information/data
TE-37,Exploit and compromise,Compromise critical systems via physical access,Adversary obtains physical access to organizational information systems and makes modifications
TE-38,Exploit and compromise,Compromise systems or devices used externally and reintroduced,Adversary installs malware on information systems or devices while external to organizations for purposes of subsequently infecting organizations when reconnected
TE-39,Exploit and compromise,Compromise software of organizational critical systems,Adversary inserts malware or otherwise corrupts critical internal organizational information systems
TE-40,Exploit and compromise,Compromise systems to facilitate exfiltration of data,Adversary implants malware into internal organizational information systems where the malware over time can identify and then exfiltrate valuable information
TE-41,Exploit and compromise,Compromise mission-critical information,Adversary compromises the integrity of mission-critical information thus preventing or impeding ability of organizations to carry out operations
TE-42,Exploit and compromise,Compromise design manufacture and/or distribution of system components,Adversary compromises the design manufacture and/or distribution of critical information system components at selected suppliers
TE-43,Conduct an attack,Conduct communications interception attacks,Adversary takes advantage of communications that are either unencrypted or use weak encryption targets those communications and gains access to transmitted information and channels
TE-44,Conduct an attack,Conduct wireless jamming attacks,Adversary takes measures to interfere with wireless communications so as to impede or prevent communications from reaching intended recipients
TE-45,Conduct an attack,Conduct attacks using unauthorized ports protocols and services,Adversary conducts attacks using ports protocols and services for ingress and egress that are not authorized for use by organizations
TE-46,Conduct an attack,Conduct attacks leveraging traffic/data movement allowed across perimeter,Adversary makes use of permitted information flows to compromise internal information systems which allows adversary to obtain and exfiltrate sensitive information through perimeters
TE-47,Conduct an attack,Conduct simple Denial of Service (DoS) attack,Adversary attempts to make an Internet-accessible resource unavailable to intended users or prevent the resource from functioning efficiently or at all
TE-48,Conduct an attack,Conduct Distributed Denial of Service (DDoS) attacks,Adversary uses multiple compromised information systems to attack a single target thereby causing denial of service for users of the targeted information systems
TE-49,Conduct an attack,Conduct targeted Denial of Service (DoS) attacks,Adversary targets DoS attacks to critical information systems components or supporting infrastructures based on adversary knowledge of dependencies
TE-50,Conduct an attack,Conduct physical attacks on organizational facilities,Adversary conducts a physical attack on organizational facilities
TE-51,Conduct an attack,Conduct physical attacks on infrastructures supporting facilities,Adversary conducts a physical attack on one or more infrastructures supporting organizational facilities
TE-52,Conduct an attack,Conduct cyber-physical attacks on organizational facilities,Adversary conducts a cyber-physical attack on organizational facilities
TE-53,Conduct an attack,Conduct data scavenging attacks in cloud environment,Adversary obtains data used and then deleted by organizational processes running in a cloud environment
TE-54,Conduct an attack,Conduct brute force login attempts/password guessing attacks,Adversary attempts to gain access to organizational information systems by random or systematic guessing of passwords possibly supported by password cracking utilities
TE-55,Conduct an attack,Conduct nontargeted zero-day attacks,Adversary employs attacks that exploit as yet unpublicized vulnerabilities not based on any adversary insights into specific vulnerabilities of organizations
TE-56,Conduct an attack,Conduct externally-based session hijacking,Adversary takes control of already established legitimate information system sessions between organizations and external entities
TE-57,Conduct an attack,Conduct internally-based session hijacking,Adversary places an entity within organizations to gain access for the express purpose of taking control of an already established legitimate session
TE-58,Conduct an attack,Conduct externally-based network traffic modification (man in the middle) attacks,Adversary operating outside organizational systems intercepts/eavesdrops on sessions between organizational and external systems and relays messages making them believe they are talking directly to each other
TE-59,Conduct an attack,Conduct internally-based network traffic modification (man in the middle) attacks,Adversary operating within the organizational infrastructure intercepts and corrupts data sessions
TE-60,Conduct an attack,Conduct outsider-based social engineering to obtain information,Externally placed adversary takes actions with the intent of persuading or otherwise tricking individuals within organizations into revealing critical/sensitive information
TE-61,Conduct an attack,Conduct insider-based social engineering to obtain information,Internally placed adversary takes actions so that individuals within organizations reveal critical/sensitive information
TE-62,Conduct an attack,Conduct attacks targeting and compromising personal devices of critical employees,Adversary targets key organizational employees by placing malware on their personally owned information systems and devices
TE-63,Conduct an attack,Conduct supply chain attacks targeting and exploiting critical hardware software or firmware,Adversary targets and compromises the operation of software firmware and hardware that performs critical functions for organizations
TE-64,Achieve results,Obtain sensitive information through network sniffing of external networks,Adversary with access to exposed wired or wireless data channels that organizations use to transmit information intercepts communications
TE-65,Achieve results,Obtain sensitive information via exfiltration,Adversary directs malware on organizational systems to locate and surreptitiously transmit sensitive information
TE-66,Achieve results,Cause degradation or denial of attacker-selected services or capabilities,Adversary directs malware on organizational systems to impair the correct and timely support of organizational mission/business functions
TE-67,Achieve results,Cause deterioration/destruction of critical system components and functions,Adversary destroys or causes deterioration of critical information system components to impede or eliminate organizational ability to carry out missions or business functions
TE-68,Achieve results,Cause integrity loss by creating deleting and/or modifying data on publicly accessible systems,Adversary vandalizes or otherwise makes unauthorized changes to organizational websites or data on websites
TE-69,Achieve results,Cause integrity loss by polluting or corrupting critical data,Adversary implants corrupted and incorrect data in critical data resulting in suboptimal actions or loss of confidence in organizational data/services
TE-70,Achieve results,Cause integrity loss by injecting false but believable data,Adversary injects false but believable data into organizational information systems resulting in suboptimal actions or loss of confidence in organizational data/services
TE-71,Achieve results,Cause disclosure of critical and/or sensitive information by authorized users,Adversary induces authorized users to inadvertently expose disclose or mishandle critical/sensitive information
TE-72,Achieve results,Cause unauthorized disclosure and/or unavailability by spilling sensitive information,Adversary contaminates organizational information systems by causing them to handle information of a classification/sensitivity for which they have not been authorized
TE-73,Achieve results,Obtain information by externally located interception of wireless network traffic,Adversary intercepts organizational communications over wireless networks
TE-74,Achieve results,Obtain unauthorized access,Adversary with authorized access to organizational information systems gains access to resources that exceeds authorization
TE-75,Achieve results,Obtain sensitive data/information from publicly accessible systems,Adversary scans or mines information on publically accessible servers and web pages of organizations with the intent of finding sensitive information
TE-76,Achieve results,Obtain information by opportunistically stealing or scavenging systems/components,Adversary steals information systems or components that are left unattended outside of the physical perimeters of organizations or scavenges discarded components
TE-77,Maintain a presence or set of capabilities,Obfuscate adversary actions,Adversary takes actions to inhibit the effectiveness of the intrusion detection systems or auditing capabilities within organizations
TE-78,Maintain a presence or set of capabilities,Adapt cyber attacks based on detailed surveillance,Adversary adapts behavior in response to surveillance and organizational security measures
TE-79,Coordinate a campaign,Coordinate a campaign of multi-staged attacks,Adversary moves the source of malicious commands or actions from one compromised information system to another making analysis difficult
TE-80,Coordinate a campaign,Coordinate a campaign that combines internal and external attacks,Adversary combines attacks that require both physical presence within organizational facilities and cyber methods to achieve success
TE-81,Coordinate a campaign,Coordinate campaigns across multiple organizations,Adversary does not limit planning to the targeting of one organization but observes multiple organizations to acquire necessary information on targets of interest
TE-82,Coordinate a campaign,Coordinate a campaign that spreads attacks across organizational systems,Adversary uses existing presence within organizational systems to extend the adversary's span of control to other organizational systems including organizational infrastructure
TE-83,Coordinate a campaign,Coordinate a campaign of continuous adaptive and changing cyber attacks,Adversary attacks continually change in response to surveillance and organizational security measures
TE-84,Coordinate a campaign,Coordinate cyber attacks using external internal and supply chain attack vectors,Adversary employs continuous coordinated attacks potentially using all three attack vectors for the purpose of impeding organizational operations
TE-85,Non-Adversarial,Spill sensitive information,Authorized user erroneously contaminates a device information system or network by placing on it or sending to it information of a classification/sensitivity which it has not been authorized to handle
TE-86,Non-Adversarial,Mishandling of critical and/or sensitive information by authorized users,Authorized privileged user inadvertently exposes critical/sensitive information
TE-87,Non-Adversarial,Incorrect privilege settings,Authorized privileged user or administrator erroneously assigns a user exceptional privileges or sets privilege requirements on a resource too low
TE-88,Non-Adversarial,Communications contention,Degraded communications performance due to contention
TE-89,Non-Adversarial,Unreadable display,Display unreadable due to aging equipment
TE-90,Non-Adversarial,Earthquake at primary facility,Earthquake at primary facility makes facility inoperable
TE-91,Non-Adversarial,Fire at primary facility,Fire at primary facility makes facility inoperable
TE-92,Non-Adversarial,Fire at backup facility,Fire at backup facility makes facility inoperable or destroys backups
TE-93,Non-Adversarial,Flood at primary facility,Flood at primary facility makes facility inoperable
TE-94,Non-Adversarial,Flood at backup facility,Flood at backup facility makes facility inoperable or destroys backups
TE-95,Non-Adversarial,Hurricane at primary facility,Hurricane at primary facility makes facility inoperable
TE-96,Non-Adversarial,Hurricane at backup facility,Hurricane at backup facility makes facility inoperable or destroys backups
TE-97,Non-Adversarial,Resource depletion,Degraded processing performance due to resource depletion
TE-98,Non-Adversarial,Introduction of vulnerabilities into software products,Due to inherent weaknesses in programming languages and software development environments errors and vulnerabilities are introduced into commonly used software products
TE-99,Non-Adversarial,Disk error,Corrupted storage due to a disk error
TE-100,Non-Adversarial,Pervasive disk error,Multiple disk errors due to aging of a set of devices all acquired at the same time from the same supplier
TE-101,Non-Adversarial,Windstorm/tornado at primary facility,Windstorm/tornado at primary facility makes facility inoperable
TE-102,Non-Adversarial,Windstorm/tornado at backup facility,Windstorm/tornado at backup facility makes facility inoperable or destroys backups